Domain,Topic,Description
Consciousness Expansion,Kasina Practice,Concentration and psychic development
Consciousness Expansion,Tummo,Inner heat meditation
Consciousness Expansion,Dzogchen,Recognition of pure awareness
Consciousness Expansion,Holotropic Breathwork,Non-ordinary states via breath
Consciousness Expansion,Wim Hof Method,Autonomic control via breath and cold
Consciousness Expansion,Pranayama,Energy manipulation through breath
Consciousness Expansion,Breath of Fire,Rapid breathing activation
Consciousness Expansion,Set and Setting,Optimize context for psychedelics
Consciousness Expansion,Integration Practices,Sustain benefits post-experience
Consciousness Expansion,Microdosing Protocols,Enhance creativity and problem-solving
Consciousness Expansion,Plant Medicine Traditions,Consciousness technologies
Business & Wealth,Compound Interest,Exponential growth mechanism
Business & Wealth,Pareto Principle,80/20 rule for results
Business & Wealth,Leverage,Multiply output via others' resources
Business & Wealth,Asymmetric Risk,"Limited downside, huge upside"
Business & Wealth,Network Effects,Value grows with users
Business & Wealth,Anchoring (Pricing),First number frames decisions
Business & Wealth,Scarcity & Urgency,Limitation creates desire
Business & Wealth,Social Proof,Follow the crowd effect
Business & Wealth,Authority,Expertise drives influence
Business & Wealth,Reciprocity,Obligation to return favors
Business & Wealth,Blue Ocean Strategy,Create uncontested space
Business & Wealth,Freemium Model,Free to build desire and scale
Business & Wealth,Platform Business,Profit by connecting parties
Business & Wealth,Viral Marketing,Engineer word-of-mouth
Business & Wealth,Subscription Economy,Recurring revenue
Creative & Artistic,Four Stages of Creativity,"Preparation, Incubation, Illumination, Verification"
Creative & Artistic,Lateral Thinking,Breakthrough idea methods
Creative & Artistic,SCAMPER,Systematic creative variations
Creative & Artistic,Mind Mapping,Idea generation and organization
Creative & Artistic,Morning Pages,Stream-of-consciousness practice
Creative & Artistic,Golden Ratio,Sacred geometry in composition
Creative & Artistic,Color Psychology,Emotional effects of color
Creative & Artistic,Hero's Journey,Universal story structure
Creative & Artistic,Musical Scales,Emotional and spiritual effects
Creative & Artistic,Design Principles,Attractive composition rules
Underground Culture,Hacker Mentality,Question and improve systems
Underground Culture,Elegant Solutions,Simplest adequate path
Underground Culture,Information Freedom,Access to knowledge
Underground Culture,"Build, Don't Consume",Create value
Underground Culture,"Fail Fast, Iterate",Rapid experimentation
Underground Culture,DIY Ethic,Do it yourself
Underground Culture,Question Authority,Challenge power structures
Underground Culture,Authenticity over Conformity,Be genuine
Underground Culture,Direct Action,Immediate steps toward goals
Underground Culture,Set and Setting (Psychedelic Culture),Mindset and environment matter
Underground Culture,Integration (Psychedelic),Post-peak work
Underground Culture,Ego Dissolution,Expanded perspective
Underground Culture,Interconnectedness,All things are connected
Philosophical Paradoxes,Wu Wei,Effortless action
Philosophical Paradoxes,Yin-Yang,Dynamic balance
Philosophical Paradoxes,Middle Way,Avoid extremes
Philosophical Paradoxes,Non-duality,Separation is illusion
Philosophical Paradoxes,Emptiness,No inherent existence
Philosophical Paradoxes,Gnosticism,Direct spiritual knowledge
Philosophical Paradoxes,Neoplatonism,Emanation from the One
Philosophical Paradoxes,Existentialism,Create meaning
Philosophical Paradoxes,Phenomenology,Study of experience
Philosophical Paradoxes,Liar's Paradox,Limits of logic
Philosophical Paradoxes,Zeno's Paradoxes,Motion and infinity
Philosophical Paradoxes,Ship of Theseus,Identity and change
Philosophical Paradoxes,Hard Problem of Consciousness,Matter and experience
Life Optimization,Circadian Optimization,Align rhythm for energy
Life Optimization,Cold Exposure,Resilience and clarity
Life Optimization,Intermittent Fasting,Longevity and cognition
Life Optimization,Nootropics,Cognitive enhancement
Life Optimization,Sleep Optimization,Foundation of performance
Life Optimization,Pomodoro Technique,Time-boxing focus
Life Optimization,GTD,Stress-free productivity
Life Optimization,Eisenhower Matrix,Prioritize by urgency/importance
Life Optimization,Deep Work,Sustained focus
Life Optimization,Energy Management,Work with natural rhythms
Life Optimization,Five Love Languages,Giving and receiving love
Life Optimization,Attachment Theory,Early relationships shape behavior
Life Optimization,Nonviolent Communication,Express needs without triggering defensiveness
Life Optimization,Social Proof & Influence,Build charisma and leadership
